date,open,high,low,close,volume,average,barCount,ticker
2024-02-09,77.92,78.01,77.25,77.67,2307984.690826456,77.5775385,10710,MMM
2024-02-12,77.86,79.48,77.8,79.12,3074635.8091137423,78.9738255,14900,MMM
2024-02-13,78.01,78.59,76.41,77.47,3318018.1796435835,77.1352416,15901,MMM
2024-02-14,77.76,77.96,77.06,77.27,3332896.7826814977,77.4078102,16903,MMM
2024-02-15,76.5,77.39,76.18,77.24,2835583.0642267675,76.9722021,13514,MMM
2024-02-16,76.8,76.96,76.25,76.29,3010034.6848463104,76.6110069,13877,MMM
2024-02-20,76.17,77.33,75.68,76.77,2581867.001554838,76.7665215,11906,MMM
2024-02-21,76.61,76.9,76.07,76.68,2426105.7289797873,76.3376022,11831,MMM
2024-02-22,76.55,77.27,76.2,77.11,2896919.0288243033,76.9094946,15178,MMM
2024-02-23,77.25,77.71,76.85,77.41,2056818.562372922,77.3760384,11090,MMM
2024-02-26,77.07,77.34,76.45,76.77,2331510.584858271,76.7648493,11299,MMM
2024-02-27,76.92,77.21,76.49,77.17,1597697.6438225093,76.8024738,8150,MMM
2024-02-28,76.92,77.45,76.43,76.47,1971722.2820236816,76.7497995,9978,MMM
2024-02-29,76.92,77.16,76.39,77.02,2463069.010883866,76.8760506,12945,MMM
2024-03-01,76.95,76.95,75.99,76.8,2194975.481401746,76.6695339,11848,MMM
2024-03-04,76.17,76.8,75.64,76.45,3704515.0101662483,76.2046623,19059,MMM
2024-03-05,76.65,78.08,76.56,77.5,3240901.8060040665,77.5382418,18834,MMM
2024-03-06,78.17,78.33,76.86,77.36,2167482.3585695494,77.3710218,11414,MMM
2024-03-07,77.8,78.01,77.0,77.44,2232969.7404616675,77.4554679,11684,MMM
2024-03-08,78.17,79.21,77.91,78.51,2959796.675038871,78.5741697,16190,MMM
2024-03-11,78.58,78.98,78.13,78.64,2361901.6864011483,78.5323647,12302,MMM
2024-03-12,83.78,84.32,81.23,82.54,10416981.222341826,82.5347754,52141,MMM
2024-03-13,83.38,87.03,82.94,87.01,8548391.340748714,85.7813517,43900,MMM
2024-03-14,86.42,87.41,85.48,86.22,4522396.842482957,86.3122752,24049,MMM
2024-03-15,86.12,88.24,85.93,87.79,8060138.739385242,87.3047259,38481,MMM
2024-03-18,87.4,88.87,87.31,87.62,3854220.7869872027,87.8799627,19906,MMM
2024-03-19,88.45,89.46,87.41,88.06,3605801.937567277,88.0045416,19013,MMM
2024-03-20,87.78,91.22,87.32,90.39,4691277.359167564,89.7160383,24246,MMM
2024-03-21,90.47,91.29,90.12,90.19,3871700.7534983857,90.7009641,19478,MMM
2024-03-22,89.96,90.4,89.25,89.28,2614155.0053821313,89.7712209,13971,MMM
2024-03-25,88.54,89.3,87.61,87.66,3469959.335007774,88.3732617,17105,MMM
2024-03-26,87.0,87.51,85.62,85.81,4702308.336323407,86.377491,23865,MMM
2024-03-27,86.12,87.6,86.11,87.45,2891539.2895586654,87.1007175,14643,MMM
2024-03-28,87.46,88.84,87.45,88.69,2718284.8941514175,88.2955044,12859,MMM
2024-04-01,91.05,94.34,88.23,94.02,9178561.0,92.124,48746,MMM
2024-04-02,93.1,94.42,91.9,92.84,5401911.0,92.995,30779,MMM
2024-04-03,93.34,94.7,92.5,93.19,3850519.0,93.466,24550,MMM
2024-04-04,94.49,95.67,90.23,90.54,3527906.0,92.35,21361,MMM
2024-04-05,90.43,91.42,89.54,91.03,2335162.0,90.772,13042,MMM
2024-04-08,91.2,92.89,91.2,91.93,2288575.0,92.025,15818,MMM
2024-04-09,92.1,93.2,92.0,92.61,2378590.0,92.671,15252,MMM
2024-04-10,91.78,92.71,90.57,92.63,2137239.0,91.823,12842,MMM
2024-04-11,92.84,93.56,92.48,93.18,1883353.0,93.12,11846,MMM
2024-04-12,92.76,92.81,91.14,91.31,2152976.0,91.695,13773,MMM
2024-04-15,91.98,92.78,90.74,91.3,2154460.0,91.656,13114,MMM
2024-04-16,90.94,91.33,90.17,91.05,1817012.0,90.755,12239,MMM
2024-04-17,91.73,92.11,90.33,90.96,2185133.0,91.067,13688,MMM
2024-04-18,91.4,92.43,90.87,91.48,1824564.0,91.522,11827,MMM
2024-04-19,91.24,92.4,91.1,92.27,2251141.0,91.914,13796,MMM
2024-04-22,92.54,92.71,91.7,92.62,1674755.0,92.343,10933,MMM
2024-04-23,92.98,94.04,92.78,93.0,2361760.0,93.282,13368,MMM
2024-04-24,92.59,93.23,91.41,92.02,1989108.0,92.07,10588,MMM
2024-04-25,91.59,92.0,90.65,91.41,1804195.0,91.251,10173,MMM
2024-04-26,91.5,92.19,91.08,91.83,1762957.0,91.835,10730,MMM
2024-04-29,91.56,92.62,91.56,92.16,2685112.0,92.112,16351,MMM
2024-04-30,95.73,97.84,93.78,96.51,10984281.0,96.087,57340,MMM
2024-05-01,98.1,99.7,97.28,98.44,7644009.0,98.851,45968,MMM
2024-05-02,97.96,98.4,96.65,96.81,4263972.0,97.219,26079,MMM
2024-05-03,97.58,98.19,96.84,97.15,2670923.0,97.335,16538,MMM
2024-05-06,97.09,97.75,96.54,96.59,2394030.0,97.023,12258,MMM
2024-05-07,96.59,97.18,95.52,95.54,2246552.0,96.159,12726,MMM
2024-05-08,95.39,96.44,95.01,96.35,1902360.0,95.784,10603,MMM
2024-05-09,96.09,97.38,95.9,97.33,1436474.0,96.853,8089,MMM
2024-05-10,98.55,99.66,98.17,98.93,2812355.0,98.915,15059,MMM
2024-05-13,99.0,101.74,99.0,99.63,3414344.0,100.29,20447,MMM
2024-05-14,99.93,101.2,99.8,100.08,1817630.0,100.205,11689,MMM
2024-05-15,100.19,101.67,100.15,101.24,2589373.0,101.134,15603,MMM
2024-05-16,101.72,105.22,101.59,104.86,5890342.0,104.431,31538,MMM
2024-05-17,105.21,105.72,104.68,105.26,2903695.0,105.227,17492,MMM
2024-05-20,105.22,106.04,104.63,105.21,2430980.0,105.279,13548,MMM
2024-05-21,104.89,105.04,102.65,103.14,2682709.0,103.769,15929,MMM
2024-05-22,102.64,103.11,100.95,101.49,2221717.0,101.693,13741,MMM
2024-05-23,100.42,100.52,98.91,99.51,2271359.0,99.753,14625,MMM
2024-05-24,99.81,100.52,99.33,99.67,1427816.0,99.85,9217,MMM
2024-05-28,99.56,100.11,97.82,98.68,2701701.0,98.814,16823,MMM
2024-05-29,97.8,97.9,96.76,97.56,3039430.0,97.222,18634,MMM
2024-05-30,97.69,98.23,96.89,98.2,2372251.0,97.519,15278,MMM
2024-05-31,98.06,100.25,97.42,100.14,4281055.0,99.24,27724,MMM
2024-06-03,100.37,100.79,98.97,99.76,2377636.0,99.595,15810,MMM
2024-06-04,99.0,99.41,97.68,98.61,2201684.0,98.425,14494,MMM
2024-06-05,98.82,99.65,97.87,99.06,1728980.0,98.801,11871,MMM
2024-06-06,98.8,99.55,98.16,98.22,1377176.0,98.587,9428,MMM
2024-06-07,99.51,101.96,98.4,100.86,3757975.0,100.541,25318,MMM
2024-06-10,100.43,101.84,100.28,100.66,1614720.0,100.794,9578,MMM
2024-06-11,100.1,101.47,99.22,101.32,1618116.0,100.705,11138,MMM
2024-06-12,102.62,103.68,100.76,101.21,2361492.0,101.91,14643,MMM
2024-06-13,102.02,102.8,100.74,101.54,2517351.0,101.549,15593,MMM
2024-06-14,100.5,101.42,99.3,100.9,1487907.0,100.553,10011,MMM
2024-06-17,99.98,101.44,99.92,100.53,2000384.0,100.624,13385,MMM
2024-06-18,100.07,101.47,100.06,100.77,1941671.0,100.859,12072,MMM
2024-06-20,100.26,102.34,100.19,101.66,1846348.0,101.602,12255,MMM
2024-06-21,101.93,102.44,100.94,102.39,2224439.0,101.972,8633,MMM
2024-06-24,102.18,103.5,101.68,102.99,1534276.0,102.958,9167,MMM
2024-06-25,102.88,103.18,101.29,102.05,3391902.0,102.352,17514,MMM
2024-06-26,101.62,101.8,100.57,101.45,1252332.0,101.359,7419,MMM
2024-06-27,101.96,104.04,101.64,103.17,2225283.0,103.311,14449,MMM
2024-06-28,103.01,103.97,101.66,102.19,1908716.0,102.433,10935,MMM
2024-07-01,102.86,103.45,100.2,100.61,1577294.0,101.221,9792,MMM
2024-07-02,100.56,101.93,100.46,101.62,1218398.0,101.196,7889,MMM
2024-07-03,101.29,102.15,100.68,101.62,596624.0,101.542,3907,MMM
2024-07-05,101.4,101.66,100.64,101.32,1051796.0,101.147,6780,MMM
2024-07-08,101.51,102.74,100.62,101.1,1235565.0,101.353,7726,MMM
2024-07-09,100.85,101.46,99.47,99.69,1622358.0,100.297,10998,MMM
2024-07-10,99.81,101.83,98.26,101.67,2791369.0,100.203,15886,MMM
2024-07-11,102.38,104.27,101.8,103.23,2885350.0,103.513,14747,MMM
2024-07-12,103.79,105.3,103.69,104.04,1940923.0,104.596,11920,MMM
2024-07-15,104.9,105.0,102.57,102.72,1757647.0,103.68,11712,MMM
2024-07-16,100.87,103.69,100.86,103.31,2181031.0,102.772,12740,MMM
2024-07-17,102.86,104.8,102.69,104.64,1962934.0,104.316,12940,MMM
2024-07-18,104.22,105.52,103.44,104.02,1779745.0,104.442,12238,MMM
2024-07-19,104.75,104.75,103.13,103.92,1623796.0,104.084,10850,MMM
2024-07-22,104.06,105.04,102.4,104.97,1454706.0,104.078,9302,MMM
2024-07-23,105.0,105.27,104.17,104.73,1317841.0,104.798,8966,MMM
2024-07-24,104.56,105.1,103.08,103.25,1751932.0,104.075,12757,MMM
2024-07-25,102.72,104.79,101.77,103.39,2679763.0,103.713,16944,MMM
2024-07-26,112.69,128.03,112.68,127.16,25128313.0,122.752,117859,MMM
2024-07-29,127.99,128.65,124.13,125.16,7905021.0,125.356,38545,MMM
2024-07-30,125.85,127.69,124.1,126.75,4591894.0,126.161,24836,MMM
2024-07-31,126.63,128.6,125.33,127.55,3607407.0,127.09,21788,MMM
2024-08-01,127.5,127.94,124.43,126.47,3252820.0,126.022,20406,MMM
2024-08-02,125.81,127.75,124.78,125.24,2123332.0,125.589,13817,MMM
2024-08-05,119.57,125.32,119.31,124.61,4024421.0,123.337,25308,MMM
2024-08-06,123.36,126.13,122.72,124.89,2534058.0,124.647,16289,MMM
2024-08-07,125.39,126.57,122.69,122.83,1893196.0,124.38,12354,MMM
2024-08-08,122.45,125.74,122.18,125.13,1639557.0,124.814,11656,MMM
2024-08-09,124.64,124.64,123.33,124.17,1715104.0,124.036,11916,MMM
2024-08-12,124.0,124.09,122.54,123.36,1456075.0,123.215,10170,MMM
2024-08-13,123.43,125.4,122.74,125.35,1753714.0,124.348,11166,MMM
2024-08-14,124.97,127.04,124.62,126.17,1892438.0,126.034,12568,MMM
2024-08-15,127.32,127.94,126.17,127.16,1737261.0,126.919,10688,MMM
